Date;AveragePrice;TotalVolume;Income;type
25/01/2015;1.02;695658.81;709571.9862;conventional
25/01/2015;1.33;22502.5;29928.325;organic
25/01/2015;1.19;277325.29;330017.0951;conventional
25/01/2015;1.62;8703.74;14100.0588;organic
25/01/2015;1.19;144301.73;171719.0587;conventional
25/01/2015;2.01;711.52;1430.1552;organic
25/01/2015;1.13;2928692.32;3309422.322;conventional
25/01/2015;1.63;59906.52;97647.6276;organic
25/01/2015;1.17;206074.14;241106.7438;conventional
25/01/2015;1.8;2171.91;3909.438;organic
25/01/2015;1.35;241174.11;325585.0485;conventional
25/01/2015;2.21;1920.19;4243.6199;organic
25/01/2015;0.77;983910.94;757611.4238;conventional
25/01/2015;1.24;11398.91;14134.6484;organic
25/01/2015;1.06;149473.79;158442.2174;conventional
25/01/2015;1.78;1221.24;2173.8072;organic
25/01/2015;1.2;109940.55;131928.66;conventional
25/01/2015;1.88;1140.32;2143.8016;organic
25/01/2015;1.06;249509.99;264480.5894;conventional
25/01/2015;1.66;5758.68;9559.4088;organic
25/01/2015;0.96;2329987.29;2236787.798;conventional
25/01/2015;1.23;38078.07;46836.0261;organic
25/01/2015;1.02;86635.35;88368.057;conventional
25/01/2015;1.68;1201.46;2018.4528;organic
25/01/2015;1.27;398055.71;505530.7517;conventional
25/01/2015;1.84;1648.84;3033.8656;organic
25/01/2015;1.15;2480820.72;2852943.828;conventional
25/01/2015;1.63;54932.83;89540.5129;organic
25/01/2015;1.07;140855.47;150715.3529;conventional
25/01/2015;1.71;4448.88;7607.5848;organic
25/01/2015;0.94;271448.06;255161.1764;conventional
25/01/2015;1.47;1278.14;1878.8658;organic
25/01/2015;1.36;1102868.27;1499900.847;conventional
25/01/2015;2.02;14337.32;28961.3864;organic
25/01/2015;1.27;3238501.89;4112897.4;conventional
25/01/2015;1.92;40358.44;77488.2048;organic
25/01/2015;1.06;290611.31;308047.9886;conventional
25/01/2015;1.9;6757.39;12839.041;organic
25/01/2015;1.28;211991.09;271348.5952;conventional
25/01/2015;1.82;1925.46;3504.3372;organic
25/01/2015;1.36;355645.73;483678.1928;conventional
25/01/2015;1.82;2888.62;5257.2884;organic
25/01/2015;0.61;1233503.27;752436.9947;conventional
25/01/2015;1.54;10849.4;16708.076;organic
25/01/2015;1.32;98722.79;130314.0828;conventional
25/01/2015;1.7;1441.14;2449.938;organic
25/01/2015;1.08;1510836.96;1631703.917;conventional
25/01/2015;1.8;30207.8;54374.04;organic
25/01/2015;1.09;432770.06;471719.3654;conventional
25/01/2015;1.35;30862.91;41664.9285;organic
25/01/2015;1.16;233277.19;270601.5404;conventional
25/01/2015;2.02;3359.58;6786.3516;organic
25/01/2015;1.17;194086.08;227080.7136;conventional
25/01/2015;1.57;3860.33;6060.7181;organic
25/01/2015;1.15;123070.18;141530.707;conventional
25/01/2015;1.47;5411.77;7955.3019;organic
25/01/2015;1.19;360027.65;428432.9035;conventional
25/01/2015;1.44;9707.59;13978.9296;organic
25/01/2015;1.02;406591.11;414722.9322;conventional
25/01/2015;1.26;11132.08;14026.4208;organic
25/01/2015;1.21;713523.24;863363.1204;conventional
25/01/2015;1.34;27146.81;36376.7254;organic
25/01/2015;1.26;420124.11;529356.3786;conventional
25/01/2015;1.7;29354.75;49903.075;organic
25/01/2015;1.06;311348.31;330029.2086;conventional
25/01/2015;2.01;2865.92;5760.4992;organic
25/01/2015;0.81;5142259.93;4165230.543;conventional
25/01/2015;1.37;58961.59;80777.3783;organic
25/01/2015;1.15;2778000.82;3194700.943;conventional
25/01/2015;1.81;23809.3;43094.833;organic
25/01/2015;1.21;64116.71;77581.2191;conventional
25/01/2015;1.66;3313.55;5500.493;organic
25/01/2015;1.17;176820.49;206879.9733;conventional
25/01/2015;1.93;4131.86;7974.4898;organic
25/01/2015;1.37;44517.84;60989.4408;conventional
25/01/2015;1.77;845.05;1495.7385;organic
25/01/2015;1.21;260471.23;315170.1883;conventional
25/01/2015;1.75;1460.04;2555.07;organic
25/01/2015;1.04;28470310.84;29609123.27;conventional
25/01/2015;1.53;556368.86;851244.3558;organic
25/01/2015;0.94;5461313.9;5133635.066;conventional
25/01/2015;1.52;166494.38;253071.4576;organic
25/01/2015;0.8;720800.61;576640.488;conventional
25/01/2015;1.63;7324.06;11938.2178;organic
01/02/2015;0.99;70873.6;70164.864;conventional
01/02/2015;1.83;1228.51;2248.1733;organic
01/02/2015;0.96;636771.37;611300.5152;conventional
01/02/2015;1.44;7665.7;11038.608;organic
01/02/2015;1.06;1007418.76;1067863.886;conventional
01/02/2015;1.15;27929.74;32119.201;organic
01/02/2015;0.91;113578.24;103356.1984;conventional
01/02/2015;1.43;1780.76;2546.4868;organic
01/02/2015;1.22;490022.14;597827.0108;conventional
01/02/2015;1.78;2943.85;5240.053;organic
01/02/2015;1.33;153920.35;204714.0655;conventional
01/02/2015;1.55;2808.55;4353.2525;organic
01/02/2015;0.85;9032180.67;7677353.57;conventional
01/02/2015;1.11;196031.9;217595.409;organic
01/02/2015;0.98;254009.7;248929.506;conventional
01/02/2015;1.93;3557.34;6865.6662;organic
01/02/2015;0.91;1133491.66;1031477.411;conventional
01/02/2015;1.52;14391.05;21874.396;organic
01/02/2015;0.86;300905.18;258778.4548;conventional
01/02/2015;1.19;10707.5;12741.925;organic
01/02/2015;0.87;216653.06;188488.1622;conventional
01/02/2015;1.63;4215.96;6872.0148;organic
01/02/2015;0.68;1391089.32;945940.7376;conventional
01/02/2015;1.24;12276.58;15222.9592;organic
01/02/2015;0.93;990211.57;920896.7601;conventional
01/02/2015;1.29;27527.63;35510.6427;organic
01/02/2015;0.92;539750.77;496570.7084;conventional
01/02/2015;1.55;8707.92;13497.276;organic
01/02/2015;0.94;309471.69;290903.3886;conventional
01/02/2015;1.98;769.05;1522.719;organic
01/02/2015;0.91;4874124.41;4435453.213;conventional
01/02/2015;1.53;63248.58;96770.3274;organic
01/02/2015;1.06;283137.88;300126.1528;conventional
01/02/2015;1.65;3796.16;6263.664;organic
01/02/2015;1.32;297969.31;393319.4892;conventional
01/02/2015;1.54;6084.48;9370.0992;organic
01/02/2015;0.72;1280364.01;921862.0872;conventional
01/02/2015;1.15;12285.76;14128.624;organic
01/02/2015;0.92;245352.56;225724.3552;conventional
01/02/2015;1.69;1565.24;2645.2556;organic
01/02/2015;0.92;237910.63;218877.7796;conventional
01/02/2015;1.76;1591.75;2801.48;organic
01/02/2015;0.94;370223.11;348009.7234;conventional
01/02/2015;1.6;7634.17;12214.672;organic
01/02/2015;0.74;4031949.04;2983642.29;conventional
01/02/2015;1.12;50107.32;56120.1984;organic
01/02/2015;0.9;125504.98;112954.482;conventional
01/02/2015;1.55;1336.46;2071.513;organic
01/02/2015;0.95;753300.79;715635.7505;conventional
01/02/2015;1.73;1767.3;3057.429;organic
01/02/2015;0.99;3668037.65;3631357.274;conventional
01/02/2015;1.44;72159.84;103910.1696;organic
01/02/2015;0.94;221471.45;208183.163;conventional
01/02/2015;1.65;4205.27;6938.6955;organic
01/02/2015;0.81;367711.87;297846.6147;conventional
01/02/2015;1.48;2013.46;2979.9208;organic
01/02/2015;1.36;1433763.11;1949917.83;conventional
01/02/2015;1.93;24697.84;47666.8312;organic
01/02/2015;1.23;4298883.17;5287626.299;conventional
01/02/2015;1.78;63537.1;113096.038;organic
01/02/2015;1.06;412752.74;437517.9044;conventional
01/02/2015;1.89;6551.44;12382.2216;organic
01/02/2015;0.95;489224.51;464763.2845;conventional
01/02/2015;1.76;2499.88;4399.7888;organic
01/02/2015;1.14;569304.8;649007.472;conventional
01/02/2015;1.69;4907.41;8293.5229;organic
01/02/2015;0.56;1544750.92;865060.5152;conventional
01/02/2015;1.18;13645.72;16101.9496;organic
01/02/2015;1.25;112065.73;140082.1625;conventional
01/02/2015;1.77;1427.11;2525.9847;organic
01/02/2015;0.92;2561325.42;2356419.386;conventional
01/02/2015;1.67;30193.16;50422.5772;organic
01/02/2015;0.98;776237.93;760713.1714;conventional
01/02/2015;1.2;39672.8;47607.36;organic
01/02/2015;0.99;344288.82;340845.9318;conventional
01/02/2015;1.79;4385.19;7849.4901;organic
01/02/2015;0.97;308461.1;299207.267;conventional
01/02/2015;1.58;3916.98;6188.8284;organic
01/02/2015;1;168217.72;168217.72;conventional
01/02/2015;1.5;4941.74;7412.61;organic
01/02/2015;1.04;771974.9;802853.896;conventional
01/02/2015;1.22;13195.65;16098.693;organic
01/02/2015;0.85;692276.13;588434.7105;conventional
01/02/2015;1.11;18623.99;20672.6289;organic
01/02/2015;0.91;1352027.64;1230345.152;conventional
01/02/2015;1.06;57802.02;61270.1412;organic
01/02/2015;0.97;933148.31;905153.8607;conventional
01/02/2015;1.44;40334.59;58081.8096;organic
01/02/2015;0.91;469684.32;427412.7312;conventional
01/02/2015;1.66;3977.03;6601.8698;organic
01/02/2015;0.71;6934356.31;4923392.98;conventional
01/02/2015;1.28;64156.46;82120.2688;organic
01/02/2015;0.93;4924049.79;4579366.305;conventional
01/02/2015;1.6;35085.7;56137.12;organic
01/02/2015;0.97;135656.36;131586.6692;conventional
01/02/2015;1.38;6444.84;8893.8792;organic
01/02/2015;1.1;308371.9;339209.09;conventional
01/02/2015;1.93;2688.02;5187.8786;organic
01/02/2015;1.26;57424.15;72354.429;conventional
01/02/2015;1.65;1285.09;2120.3985;organic
01/02/2015;0.92;562242.53;517263.1276;conventional
01/02/2015;1.68;2109.19;3543.4392;organic
01/02/2015;0.89;44655461.51;39743360.74;conventional
01/02/2015;1.36;740896.97;1007619.879;organic
01/02/2015;0.84;8362504.08;7024503.427;conventional
01/02/2015;1.34;216484.22;290088.8548;organic
01/02/2015;0.71;916367.42;650620.8682;conventional
01/02/2015;1.77;7210.19;12762.0363;organic
08/02/2015;0.99;51253.97;50741.4303;conventional
08/02/2015;1.59;1770.87;2815.6833;organic
08/02/2015;1.03;433883.91;446900.4273;conventional
08/02/2015;1.29;13288.3;17141.907;organic
08/02/2015;1.09;844931.21;920975.0189;conventional
08/02/2015;1.43;14898.15;21304.3545;organic
08/02/2015;1.07;69970.75;74868.7025;conventional
08/02/2015;1.35;3870.67;5225.4045;organic
08/02/2015;1.04;609985.34;634384.7536;conventional
08/02/2015;1.91;3098.29;5917.7339;organic
08/02/2015;1.36;132760.1;180553.736;conventional
